fold,feature,mean_abs_shap,mean_signed_shap,rank
5,Age,0.0105396556803994,-0.0009380708718103,1
5,YearMonthIndex,0.006164943304213,-0.0001349065097981,2
5,prev_ab_all_label_mean,0.0031221582370595,0.0030281960419956,3
5,TestDate_year,0.0015041932418959,-0.0001570650100572,4
5,err_stats_mean,0.0014740138201335,2.5234882484683213e-06,5
5,prev_YearMonthIndex_mean,0.0014561307723935,-9.492385865820816e-05,6
5,acc_stats_std,0.0012022569534078,-0.000168040677388,7
5,err_stats_std,0.0008946038433435,0.0002044996959922,8
5,prev_ab_YearMonthIndex_mean,0.0007322494365504,-0.0002161907185769,9
5,err_stats_skew,0.0006451923133383,-5.053752339096494e-05,10
5,prev_YearMonthIndex_sum,0.0005993432753714,-3.865968726331229e-05,11
5,acc_stats_kurt,0.0005668097153556,-9.658322211478336e-05,12
5,rt_mean_stats_std,0.0005165653717857,2.092296145718886e-05,13
5,prev_ab_all_label_sum,0.0005001734852232,0.0004754516089085,14
5,acc_stats_skew,0.0004812640213661,3.656490251315682e-05,15
5,rt_std_stats_mean,0.0004803455668662,-0.0001028109582776,16
5,rt_mean_stats_kurt,0.0004608390241892,-7.52512032889243e-05,17
5,rt_mean_stats_skew,0.0004603448854354,-3.349122698327461e-05,18
5,rt_std_stats_std,0.0004423875654166,1.7069879351201947e-05,19
5,prev_ab_YearMonthIndex_sum,0.0004298906748363,-1.0000587792311908e-05,20
5,prev_all_label_mean,0.0004054207686654,0.0002091550657671,21
5,rt_mean_stats_mean,0.0004010575156966,-0.0001010198864905,22
5,acc_stats_mean,0.0003028142769924,-5.932862530047686e-05,23
5,other_test_YearMonthIndex_mean,0.0002714560790198,0.0002364900412273,24
5,err_stats_kurt,0.0002516869163793,1.670219363378954e-05,25
5,TestDate_month,0.0002500256472032,6.416570210744561e-05,26
5,rt_std_stats_skew,0.0001410146751691,4.921128107896653e-06,27
5,other_test_Label_mean,0.0001341732750459,-4.139565341130288e-05,28
5,rt_std_stats_kurt,0.0001124000223566,1.4412911205860884e-05,29
5,prev_all_label_sum,0.0001038768384987,7.73251257124927e-05,30
5,prev_ab_YearMonthIndex_std,6.995375728482678e-05,-3.2611992632618964e-06,31
5,other_test_Test_id_count,5.931416150437093e-05,4.986237455592851e-05,32
5,prev_YearMonthIndex_std,4.39390707292461e-05,-9.112016385540255e-06,33
5,isna_sum,3.956295044879517e-05,-6.941730068094195e-06,34
5,prev_ab_all_label_std,3.522101936107001e-05,1.3246189551650495e-05,35
5,prev_all_label_std,2.220201889324004e-05,1.2360298607436695e-05,36
5,other_test_YearMonthIndex_std,1.0944443009435307e-05,-1.0884329558747557e-05,37
