outer_fold,C,Score,AUC,PR-AUC,Brier,ECE_uniform_10,ECE_adaptive_10,Score_SD,AUC_SD,PR-AUC_SD,Brier_SD,ECE_uniform_10_SD,ECE_adaptive_10_SD
4,1000.0,0.16688343355258106,0.6798840469045776,0.09931648421717422,0.027073523707950298,0.0002283043115292842,0.002251497461169173,0.0004997817790018377,0.0009794896556367702,0.002229567492702942,4.0986698378391464e-05,0.00010611257425784531,0.00013893304946228704
4,10000.0,0.16688342935558462,0.6798840639459359,0.09931640101901851,0.02707352379545919,0.00022832151875088182,0.002251508532478474,0.0004997786756208471,0.0009794739615522903,0.0022295175458314632,4.098668330321782e-05,0.00010610271794268942,0.00013892436883229233
5,0.0001,0.17287885283691948,0.6681283637660697,0.09303339402639084,0.027124017780882217,0.0006481210989348656,0.0038244125005194554,0.0012714798625390372,0.002534620367707107,0.0015262981910740784,2.103354152448325e-05,0.00015866837113704928,0.00027895699772248207
5,0.001,0.16847372366934596,0.6767235309676751,0.10012152624191008,0.02704544259201168,0.00029651402072228776,0.002391358772136368,0.0010865685161796444,0.0021786013906398933,0.0012441791122186187,1.9979855514224004e-05,4.029020194036615e-05,0.00010911604267946966
5,0.01,0.1674231229725256,0.6788020255616672,0.10041602113263708,0.027047113535889428,0.000249429477547553,0.0022989337662127963,0.0011302437316771307,0.0022430883981809585,0.0011808676503950331,2.2095097740950544e-05,4.4437980938150405e-05,0.0003651493571569357
5,0.1,0.16721105396373695,0.6792126101991321,0.09989524514435401,0.027052937977307512,0.00021649827590454094,0.0022386251098523366,0.0010482176791451775,0.002068335209521479,0.0013021671226498871,2.3743635615951775e-05,4.997638152697249e-05,0.0002662231730136914
5,1.0,0.16719613384795454,0.6792388604805167,0.09984289613284762,0.02705350792294517,0.00020874842990640944,0.0022452360324899255,0.0010516312304065171,0.002083107153773461,0.0013193230886303748,2.433440538777476e-05,2.9928268123008454e-05,0.00031429549931638725
5,10.0,0.1671987624358571,0.6792343197325238,0.09984893195258177,0.027053469938352906,0.00021021927012321943,0.002256146600512309,0.0010500842445876166,0.0020784838920775146,0.0013239893801755731,2.425388420509044e-05,3.135911577820997e-05,0.0003080013934622497
5,100.0,0.16719863656434933,0.6792346000578418,0.09984876257911907,0.02705347333581055,0.0002102730372701623,0.002256080108587492,0.0010502548828528278,0.0020787923516097516,0.0013242514548542376,2.4250093326199253e-05,3.142699924487967e-05,0.000308019315668897
5,1000.0,0.1671986310244112,0.6792346140086547,0.09984878504276425,0.027053473673126837,0.0002102784418274987,0.002256073446374561,0.0010502650400502542,0.0020788093184524316,0.0013241913867293807,2.4249711385270828e-05,3.143383575723271e-05,0.0003080211230021347
